주차장명,주차면수,연월일,입차대수,출차대수,피크시간
잠실역,346,2021-10-29,610,612,14
구로디지털단지역,92,2021-10-29,196,196,20
개화산역,322,2021-10-29,331,327,16
수서역북,553,2021-10-29,657,671,10
수서역남,18,2021-10-29,40,43,16
복정역,322,2021-10-29,395,382,13
한강진역,176,2021-10-29,406,416,20
수락산역,157,2021-10-29,225,222,12
화랑대역,319,2021-10-29,330,328,12
서울글로벌센터,38,2021-10-29,67,72,16
구파발역,399,2021-10-29,625,631,16
신설동,79,2021-10-29,237,237,15
영등포구청역,137,2021-10-29,187,189,12
적선노외,30,2021-10-29,208,102,13
도봉산역,364,2021-10-29,397,403,14
학여울역,180,2021-10-29,114,124,12
사당노외,184,2021-10-29,418,427,20
종묘,1617,2021-10-29,1442,1478,14
천왕역,328,2021-10-29,342,342,13
개화역,483,2021-10-29,337,339,13
마포유수지,505,2021-10-29,758,763,20
세종로,1260,2021-10-29,626,638,20
신대방역,60,2021-10-29,160,165,16
동대문,1092,2021-10-29,1740,1782,0
천호역,1432,2021-10-29,1420,1444,12
용산주차빌딩,561,2021-10-29,427,439,12
신천유수지,214,2021-10-29,230,230,14
신방화역,199,2021-10-29,212,216,12
훈련원공원,873,2021-10-29,935,955,13
가양라이품,38,2021-10-29,30,35,14
남산예장,40,2021-10-29,258,258,7
장안1동,74,2021-10-29,65,79,8
신월4동,53,2021-10-29,10,1,23
장안2동,80,2021-10-29,49,47,10
웃우물,79,2021-10-29,69,73,11
잠실역,346,2021-10-30,718,722,16
구로디지털단지역,92,2021-10-30,148,153,19
개화산역,322,2021-10-30,168,167,17
수서역북,553,2021-10-30,311,335,9
수서역남,18,2021-10-30,54,43,11
복정역,322,2021-10-30,195,205,14
한강진역,176,2021-10-30,637,646,20
수락산역,157,2021-10-30,239,242,13
화랑대역,319,2021-10-30,374,376,11
서울글로벌센터,38,2021-10-30,9,9,12
구파발역,399,2021-10-30,510,520,12
신설동,79,2021-10-30,244,247,15
영등포구청역,137,2021-10-30,85,92,13
적선노외,30,2021-10-30,138,67,18
도봉산역,364,2021-10-30,484,497,14
학여울역,180,2021-10-30,68,70,12
사당노외,184,2021-10-30,329,330,19
종묘,1617,2021-10-30,1272,1314,15
천왕역,328,2021-10-30,144,165,13
개화역,483,2021-10-30,120,116,16
마포유수지,505,2021-10-30,566,607,14
세종로,1260,2021-10-30,852,863,19
신대방역,60,2021-10-30,182,182,19
동대문,1092,2021-10-30,592,1460,1
천호역,1432,2021-10-30,1857,1913,15
용산주차빌딩,561,2021-10-30,111,129,16
신천유수지,214,2021-10-30,129,129,18
신방화역,199,2021-10-30,145,152,14
훈련원공원,873,2021-10-30,402,433,13
가양라이품,38,2021-10-30,10,8,13
남산예장,40,2021-10-30,251,250,12
장안1동,74,2021-10-30,52,51,4
신월4동,53,2021-10-30,0,0,23
장안2동,80,2021-10-30,29,35,8
웃우물,79,2021-10-30,40,47,12
잠실역,346,2021-10-31,804,815,14
구로디지털단지역,92,2021-10-31,110,113,16
개화산역,322,2021-10-31,149,150,16
수서역북,553,2021-10-31,247,251,0
수서역남,18,2021-10-31,33,34,13
복정역,322,2021-10-31,146,224,1
한강진역,176,2021-10-31,581,596,16
수락산역,157,2021-10-31,176,180,13
화랑대역,319,2021-10-31,133,138,12
서울글로벌센터,38,2021-10-31,1,0,23
구파발역,399,2021-10-31,321,322,13
신설동,79,2021-10-31,210,213,16
영등포구청역,137,2021-10-31,57,54,23
적선노외,30,2021-10-31,148,58,17
도봉산역,364,2021-10-31,477,483,13
학여울역,180,2021-10-31,50,46,23
사당노외,184,2021-10-31,271,273,19
종묘,1617,2021-10-31,902,906,16
천왕역,328,2021-10-31,126,129,15
개화역,483,2021-10-31,77,92,17
마포유수지,505,2021-10-31,350,356,19
세종로,1260,2021-10-31,859,893,16
신대방역,60,2021-10-31,121,131,15
동대문,1092,2021-10-31,1139,509,0
천호역,1432,2021-10-31,1279,1326,13
용산주차빌딩,561,2021-10-31,66,49,0
신천유수지,214,2021-10-31,93,92,17
신방화역,199,2021-10-31,108,107,17
훈련원공원,873,2021-10-31,124,116,23
가양라이품,38,2021-10-31,8,9,11
남산예장,40,2021-10-31,242,242,18
장안1동,74,2021-10-31,39,38,20
신월4동,53,2021-10-31,0,0,23
장안2동,80,2021-10-31,29,25,23
웃우물,79,2021-10-31,28,24,7
잠실역,346,2021-11-01,574,565,14
구로디지털단지역,92,2021-11-01,191,169,19
개화산역,322,2021-11-01,333,331,10
수서역북,553,2021-11-01,725,708,11
수서역남,18,2021-11-01,28,28,16
복정역,322,2021-11-01,413,398,15
한강진역,176,2021-11-01,285,285,14
수락산역,157,2021-11-01,232,232,16
화랑대역,319,2021-11-01,337,340,15
서울글로벌센터,38,2021-11-01,62,64,12
구파발역,399,2021-11-01,660,651,12
신설동,79,2021-11-01,197,196,15
영등포구청역,137,2021-11-01,193,190,12
적선노외,30,2021-11-01,197,94,18
도봉산역,364,2021-11-01,353,340,10
학여울역,180,2021-11-01,101,95,12
사당노외,184,2021-11-01,388,373,19
종묘,1617,2021-11-01,1439,1409,13
천왕역,328,2021-11-01,378,363,13
개화역,483,2021-11-01,345,346,12
마포유수지,505,2021-11-01,749,705,19
세종로,1260,2021-11-01,509,482,14
신대방역,60,2021-11-01,154,136,19
동대문,1092,2021-11-01,1859,1567,0
천호역,1432,2021-11-01,1405,1339,12
용산주차빌딩,561,2021-11-01,462,452,13
신천유수지,214,2021-11-01,242,243,12
신방화역,199,2021-11-01,219,216,10
훈련원공원,873,2021-11-01,1014,991,13
가양라이품,38,2021-11-01,40,41,12
남산예장,40,2021-11-01,259,258,17
장안1동,74,2021-11-01,67,73,11
신월4동,53,2021-11-01,45,12,23
장안2동,80,2021-11-01,60,53,16
웃우물,79,2021-11-01,63,54,15
잠실역,346,2021-11-02,606,611,15
구로디지털단지역,92,2021-11-02,199,194,20
개화산역,322,2021-11-02,340,337,15
수서역북,553,2021-11-02,706,732,12
수서역남,18,2021-11-02,29,27,10
복정역,322,2021-11-02,401,397,15
한강진역,176,2021-11-02,340,351,15
수락산역,157,2021-11-02,232,230,12
화랑대역,319,2021-11-02,330,325,14
서울글로벌센터,38,2021-11-02,69,70,10
구파발역,399,2021-11-02,604,615,12
신설동,79,2021-11-02,171,170,11
영등포구청역,137,2021-11-02,174,176,14
적선노외,30,2021-11-02,200,94,15
도봉산역,364,2021-11-02,358,340,13
학여울역,180,2021-11-02,92,97,15
사당노외,184,2021-11-02,401,410,20
종묘,1617,2021-11-02,1395,1401,13
천왕역,328,2021-11-02,383,393,16
개화역,483,2021-11-02,332,339,16
마포유수지,505,2021-11-02,747,762,20
세종로,1260,2021-11-02,621,635,13
신대방역,60,2021-11-02,170,179,15
동대문,1092,2021-11-02,1794,1905,1
천호역,1432,2021-11-02,1425,1445,12
용산주차빌딩,561,2021-11-02,478,464,14
신천유수지,214,2021-11-02,249,258,12
신방화역,199,2021-11-02,205,208,12
훈련원공원,873,2021-11-02,975,981,13
가양라이품,38,2021-11-02,41,40,15
남산예장,40,2021-11-02,257,257,17
장안1동,74,2021-11-02,59,61,5
신월4동,53,2021-11-02,21,9,19
장안2동,80,2021-11-02,41,41,9
웃우물,79,2021-11-02,46,50,11
잠실역,346,2021-11-03,590,592,12
구로디지털단지역,92,2021-11-03,201,197,20
개화산역,322,2021-11-03,339,337,14
수서역북,553,2021-11-03,713,718,13
수서역남,18,2021-11-03,35,35,14
복정역,322,2021-11-03,400,414,14
한강진역,176,2021-11-03,400,402,13
수락산역,157,2021-11-03,241,240,15
화랑대역,319,2021-11-03,307,321,12
서울글로벌센터,38,2021-11-03,50,52,16
구파발역,399,2021-11-03,573,568,15
신설동,79,2021-11-03,233,234,11
영등포구청역,137,2021-11-03,159,165,14
적선노외,30,2021-11-03,210,100,19
도봉산역,364,2021-11-03,360,373,14
학여울역,180,2021-11-03,89,84,16
사당노외,184,2021-11-03,422,422,20
종묘,1617,2021-11-03,1387,1386,15
천왕역,328,2021-11-03,387,383,13
개화역,483,2021-11-03,329,317,16
마포유수지,505,2021-11-03,798,795,19
세종로,1260,2021-11-03,840,839,20
신대방역,60,2021-11-03,165,166,17
동대문,1092,2021-11-03,1695,1733,0
천호역,1432,2021-11-03,1418,1422,13
용산주차빌딩,561,2021-11-03,459,464,17
신천유수지,214,2021-11-03,240,235,15
신방화역,199,2021-11-03,196,197,16
훈련원공원,873,2021-11-03,1032,1026,14
가양라이품,38,2021-11-03,42,43,15
남산예장,40,2021-11-03,254,254,12
장안1동,74,2021-11-03,74,75,4
신월4동,53,2021-11-03,16,6,17
장안2동,80,2021-11-03,59,61,12
웃우물,79,2021-11-03,52,55,10
잠실역,346,2021-11-04,681,672,16
구로디지털단지역,92,2021-11-04,190,195,20
개화산역,322,2021-11-04,349,344,11
수서역북,553,2021-11-04,658,667,13
수서역남,18,2021-11-04,33,32,9
복정역,322,2021-11-04,406,410,16
한강진역,176,2021-11-04,409,413,14
수락산역,157,2021-11-04,270,277,14
화랑대역,319,2021-11-04,346,342,17
서울글로벌센터,38,2021-11-04,83,86,13
구파발역,399,2021-11-04,622,635,13
신설동,79,2021-11-04,206,203,14
영등포구청역,137,2021-11-04,212,83,11
적선노외,30,2021-11-04,204,101,13
도봉산역,364,2021-11-04,366,359,13
학여울역,180,2021-11-04,107,105,12
사당노외,184,2021-11-04,461,459,20
종묘,1617,2021-11-04,1408,1416,13
천왕역,328,2021-11-04,354,357,14
개화역,483,2021-11-04,338,337,13
마포유수지,505,2021-11-04,812,835,19
세종로,1260,2021-11-04,792,798,20
신대방역,60,2021-11-04,164,162,17
동대문,1092,2021-11-04,1698,1724,0
천호역,1432,2021-11-04,1358,1390,12
용산주차빌딩,561,2021-11-04,441,430,17
신천유수지,214,2021-11-04,230,231,14
신방화역,199,2021-11-04,187,186,16
훈련원공원,873,2021-11-04,951,972,13
가양라이품,38,2021-11-04,44,44,14
남산예장,40,2021-11-04,258,258,13
장안1동,74,2021-11-04,62,69,5
신월4동,53,2021-11-04,32,12,19
장안2동,80,2021-11-04,52,51,10
웃우물,79,2021-11-04,60,61,16
잠실역,346,2021-11-05,625,638,14
구로디지털단지역,92,2021-11-05,191,195,19
개화산역,322,2021-11-05,325,337,15
수서역북,553,2021-11-05,625,642,10
수서역남,18,2021-11-05,37,35,13
복정역,322,2021-11-05,407,401,15
한강진역,176,2021-11-05,408,415,15
수락산역,157,2021-11-05,264,263,14
화랑대역,319,2021-11-05,344,356,13
서울글로벌센터,38,2021-11-05,58,60,14
구파발역,399,2021-11-05,638,633,12
신설동,79,2021-11-05,217,219,15
영등포구청역,137,2021-11-05,305,175,14
적선노외,30,2021-11-05,177,101,13
도봉산역,364,2021-11-05,379,382,12
학여울역,180,2021-11-05,98,110,11
사당노외,184,2021-11-05,469,472,21
종묘,1617,2021-11-05,1475,1495,13
천왕역,328,2021-11-05,357,374,13
개화역,483,2021-11-05,340,333,17
마포유수지,505,2021-11-05,791,821,20
세종로,1260,2021-11-05,625,649,16
신대방역,60,2021-11-05,167,161,20
동대문,1092,2021-11-05,1839,1818,0
천호역,1432,2021-11-05,1465,1466,12
용산주차빌딩,561,2021-11-05,391,428,13
신천유수지,214,2021-11-05,235,236,13
신방화역,199,2021-11-05,182,187,12
훈련원공원,873,2021-11-05,902,921,13
가양라이품,38,2021-11-05,37,39,14
남산예장,40,2021-11-05,265,265,12
장안1동,74,2021-11-05,65,68,9
신월4동,53,2021-11-05,19,19,5
장안2동,80,2021-11-05,45,48,14
웃우물,79,2021-11-05,65,63,11
잠실역,346,2021-11-06,869,882,12
구로디지털단지역,92,2021-11-06,202,192,20
개화산역,322,2021-11-06,141,152,12
수서역북,553,2021-11-06,241,265,4
수서역남,18,2021-11-06,39,42,8
복정역,322,2021-11-06,204,221,18
한강진역,176,2021-11-06,596,597,19
수락산역,157,2021-11-06,220,217,13
화랑대역,319,2021-11-06,256,259,14
서울글로벌센터,38,2021-11-06,5,6,9
구파발역,399,2021-11-06,452,462,13
신설동,79,2021-11-06,224,228,15
영등포구청역,137,2021-11-06,116,113,20
적선노외,30,2021-11-06,182,87,15
도봉산역,364,2021-11-06,499,511,14
학여울역,180,2021-11-06,54,67,4
사당노외,184,2021-11-06,384,395,21
종묘,1617,2021-11-06,1397,1442,15
천왕역,328,2021-11-06,176,177,13
개화역,483,2021-11-06,130,129,16
마포유수지,505,2021-11-06,604,625,13
세종로,1260,2021-11-06,853,838,16
신대방역,60,2021-11-06,212,226,19
동대문,1092,2021-11-06,631,1535,1
천호역,1432,2021-11-06,1639,1664,13
용산주차빌딩,561,2021-11-06,112,129,17
신천유수지,214,2021-11-06,134,142,14
신방화역,199,2021-11-06,109,115,12
훈련원공원,873,2021-11-06,374,398,13
가양라이품,38,2021-11-06,7,9,11
남산예장,40,2021-11-06,246,245,12
장안1동,74,2021-11-06,66,64,9
신월4동,53,2021-11-06,14,13,9
장안2동,80,2021-11-06,37,37,9
웃우물,79,2021-11-06,41,48,11
잠실역,346,2021-11-07,718,717,19
구로디지털단지역,92,2021-11-07,146,171,19
개화산역,322,2021-11-07,132,127,11
수서역북,553,2021-11-07,226,218,0
수서역남,18,2021-11-07,23,19,14
복정역,322,2021-11-07,207,222,14
한강진역,176,2021-11-07,575,583,16
수락산역,157,2021-11-07,178,183,13
화랑대역,319,2021-11-07,156,158,13
서울글로벌센터,38,2021-11-07,5,4,16
구파발역,399,2021-11-07,241,266,13
신설동,79,2021-11-07,212,215,15
영등포구청역,137,2021-11-07,80,78,0
적선노외,30,2021-11-07,135,71,14
도봉산역,364,2021-11-07,471,483,14
학여울역,180,2021-11-07,40,29,0
사당노외,184,2021-11-07,288,298,19
종묘,1617,2021-11-07,875,882,15
천왕역,328,2021-11-07,151,145,20
개화역,483,2021-11-07,70,91,12
마포유수지,505,2021-11-07,349,365,19
세종로,1260,2021-11-07,763,788,17
신대방역,60,2021-11-07,162,170,19
동대문,1092,2021-11-07,1129,489,0
천호역,1432,2021-11-07,1403,1446,14
용산주차빌딩,561,2021-11-07,50,42,0
신천유수지,214,2021-11-07,80,70,18
신방화역,199,2021-11-07,107,98,0
훈련원공원,873,2021-11-07,131,133,22
가양라이품,38,2021-11-07,15,14,15
남산예장,40,2021-11-07,230,230,22
장안1동,74,2021-11-07,53,49,23
신월4동,53,2021-11-07,7,4,23
장안2동,80,2021-11-07,27,22,23
웃우물,79,2021-11-07,30,20,0
잠실역,346,2021-11-08,595,606,15
구로디지털단지역,92,2021-11-08,182,160,18
개화산역,322,2021-11-08,319,310,13
수서역북,553,2021-11-08,637,623,12
수서역남,18,2021-11-08,28,28,14
복정역,322,2021-11-08,358,354,16
한강진역,176,2021-11-08,200,208,14
수락산역,157,2021-11-08,239,249,12
화랑대역,319,2021-11-08,312,312,12
서울글로벌센터,38,2021-11-08,82,81,15
구파발역,399,2021-11-08,736,737,11
신설동,79,2021-11-08,216,214,15
영등포구청역,137,2021-11-08,167,166,10
적선노외,30,2021-11-08,171,88,18
도봉산역,364,2021-11-08,358,342,10
학여울역,180,2021-11-08,98,89,17
사당노외,184,2021-11-08,358,353,15
종묘,1617,2021-11-08,1331,1306,14
천왕역,328,2021-11-08,384,386,13
개화역,483,2021-11-08,345,354,13
마포유수지,505,2021-11-08,731,714,20
세종로,1260,2021-11-08,567,499,16
신대방역,60,2021-11-08,171,164,21
동대문,1092,2021-11-08,1771,1549,0
천호역,1432,2021-11-08,1360,1351,12
용산주차빌딩,561,2021-11-08,430,403,15
신천유수지,214,2021-11-08,207,214,13
신방화역,199,2021-11-08,198,201,17
훈련원공원,873,2021-11-08,980,960,13
가양라이품,38,2021-11-08,34,34,14
남산예장,40,2021-11-08,258,257,17
장안1동,74,2021-11-08,64,73,20
신월4동,53,2021-11-08,19,14,23
장안2동,80,2021-11-08,47,45,10
웃우물,79,2021-11-08,51,51,11
잠실역,346,2021-11-09,621,630,13
구로디지털단지역,92,2021-11-09,198,194,16
개화산역,322,2021-11-09,347,350,13
수서역북,553,2021-11-09,716,718,12
수서역남,18,2021-11-09,31,28,7
복정역,322,2021-11-09,395,383,16
한강진역,176,2021-11-09,288,289,14
수락산역,157,2021-11-09,243,235,12
화랑대역,319,2021-11-09,332,328,12
서울글로벌센터,38,2021-11-09,82,92,16
구파발역,399,2021-11-09,624,616,16
신설동,79,2021-11-09,144,147,14
영등포구청역,137,2021-11-09,196,192,14
적선노외,30,2021-11-09,196,100,16
도봉산역,364,2021-11-09,369,367,11
학여울역,180,2021-11-09,106,107,16
사당노외,184,2021-11-09,410,414,20
종묘,1617,2021-11-09,1338,1329,14
천왕역,328,2021-11-09,382,381,12
개화역,483,2021-11-09,341,334,13
마포유수지,505,2021-11-09,756,748,20
세종로,1260,2021-11-09,828,912,20
신대방역,60,2021-11-09,164,169,22
동대문,1092,2021-11-09,1752,1825,1
천호역,1432,2021-11-09,1361,1366,13
용산주차빌딩,561,2021-11-09,438,432,17
신천유수지,214,2021-11-09,232,232,12
신방화역,199,2021-11-09,199,199,11
훈련원공원,873,2021-11-09,992,980,13
가양라이품,38,2021-11-09,39,39,15
남산예장,40,2021-11-09,257,257,13
장안1동,74,2021-11-09,67,74,7
신월4동,53,2021-11-09,14,14,11
장안2동,80,2021-11-09,47,48,18
웃우물,79,2021-11-09,59,55,14
잠실역,346,2021-11-10,663,654,14
구로디지털단지역,92,2021-11-10,204,202,20
개화산역,322,2021-11-10,328,319,17
수서역북,553,2021-11-10,680,694,11
수서역남,18,2021-11-10,35,36,15
복정역,322,2021-11-10,391,400,16
한강진역,176,2021-11-10,337,342,13
수락산역,157,2021-11-10,253,260,16
화랑대역,319,2021-11-10,327,329,12
서울글로벌센터,38,2021-11-10,69,72,11
구파발역,399,2021-11-10,642,640,15
신설동,79,2021-11-10,250,250,13
영등포구청역,137,2021-11-10,262,205,14
적선노외,30,2021-11-10,200,95,11
도봉산역,364,2021-11-10,337,345,9
학여울역,180,2021-11-10,105,109,12
사당노외,184,2021-11-10,429,437,20
종묘,1617,2021-11-10,1376,1388,14
천왕역,328,2021-11-10,394,395,13
개화역,483,2021-11-10,342,346,13
마포유수지,505,2021-11-10,834,867,20
세종로,1260,2021-11-10,612,613,13
신대방역,60,2021-11-10,148,138,17
동대문,1092,2021-11-10,1713,1717,0
천호역,1432,2021-11-10,1419,1447,12
용산주차빌딩,561,2021-11-10,450,461,13
신천유수지,214,2021-11-10,255,253,13
신방화역,199,2021-11-10,206,206,10
훈련원공원,873,2021-11-10,975,977,13
가양라이품,38,2021-11-10,46,48,15
남산예장,40,2021-11-10,259,259,12
장안1동,74,2021-11-10,72,73,13
신월4동,53,2021-11-10,47,18,0
장안2동,80,2021-11-10,56,58,13
웃우물,79,2021-11-10,54,59,9
잠실역,346,2021-11-11,672,680,13
구로디지털단지역,92,2021-11-11,199,202,20
개화산역,322,2021-11-11,326,333,14
수서역북,553,2021-11-11,706,712,13
수서역남,18,2021-11-11,25,24,16
복정역,322,2021-11-11,399,404,15
한강진역,176,2021-11-11,379,376,14
수락산역,157,2021-11-11,233,231,12
화랑대역,319,2021-11-11,325,335,16
서울글로벌센터,38,2021-11-11,68,71,13
구파발역,399,2021-11-11,639,648,13
신설동,79,2021-11-11,198,198,16
영등포구청역,137,2021-11-11,215,211,15
적선노외,30,2021-11-11,178,104,11
도봉산역,364,2021-11-11,346,345,10
학여울역,180,2021-11-11,144,141,14
사당노외,184,2021-11-11,474,481,20
종묘,1617,2021-11-11,1393,1412,14
천왕역,328,2021-11-11,378,381,16
개화역,483,2021-11-11,329,318,16
마포유수지,505,2021-11-11,842,849,13
세종로,1260,2021-11-11,719,737,16
신대방역,60,2021-11-11,160,164,16
동대문,1092,2021-11-11,1735,1742,0
천호역,1432,2021-11-11,1407,1387,13
용산주차빌딩,561,2021-11-11,471,482,17
신천유수지,214,2021-11-11,226,231,12
신방화역,199,2021-11-11,198,208,17
훈련원공원,873,2021-11-11,975,972,13
가양라이품,38,2021-11-11,36,36,14
남산예장,40,2021-11-11,261,262,13
장안1동,74,2021-11-11,75,81,8
신월4동,53,2021-11-11,15,17,6
장안2동,80,2021-11-11,50,49,11
웃우물,79,2021-11-11,65,65,10
잠실역,346,2021-11-12,683,682,12
구로디지털단지역,92,2021-11-12,225,227,20
개화산역,322,2021-11-12,345,321,14
수서역북,553,2021-11-12,681,696,11
수서역남,18,2021-11-12,36,34,12
복정역,322,2021-11-12,404,403,14
한강진역,176,2021-11-12,416,424,13
수락산역,157,2021-11-12,242,247,15
화랑대역,319,2021-11-12,309,303,12
서울글로벌센터,38,2021-11-12,70,68,15
구파발역,399,2021-11-12,628,641,12
신설동,79,2021-11-12,222,222,14
영등포구청역,137,2021-11-12,232,230,12
적선노외,30,2021-11-12,233,111,18
도봉산역,364,2021-11-12,376,378,12
학여울역,180,2021-11-12,130,135,12
사당노외,184,2021-11-12,506,483,20
종묘,1617,2021-11-12,1454,1471,14
천왕역,328,2021-11-12,354,365,13
개화역,483,2021-11-12,329,334,13
마포유수지,505,2021-11-12,826,826,13
세종로,1260,2021-11-12,894,904,20
신대방역,60,2021-11-12,169,175,20
동대문,1092,2021-11-12,1816,1795,0
천호역,1432,2021-11-12,1426,1457,12
용산주차빌딩,561,2021-11-12,430,432,17
신천유수지,214,2021-11-12,206,208,12
신방화역,199,2021-11-12,200,214,17
훈련원공원,873,2021-11-12,983,991,13
가양라이품,38,2021-11-12,30,31,15
남산예장,40,2021-11-12,262,261,22
장안1동,74,2021-11-12,76,64,13
신월4동,53,2021-11-12,21,19,11
장안2동,80,2021-11-12,39,46,13
웃우물,79,2021-11-12,60,66,9
잠실역,346,2021-11-13,770,787,14
구로디지털단지역,92,2021-11-13,199,196,20
개화산역,322,2021-11-13,155,171,15
수서역북,553,2021-11-13,289,302,1
수서역남,18,2021-11-13,36,39,14
복정역,322,2021-11-13,244,273,15
한강진역,176,2021-11-13,634,635,19
수락산역,157,2021-11-13,211,209,12
화랑대역,319,2021-11-13,194,192,13
서울글로벌센터,38,2021-11-13,7,9,12
구파발역,399,2021-11-13,467,482,13
신설동,79,2021-11-13,251,256,14
영등포구청역,137,2021-11-13,94,108,1
적선노외,30,2021-11-13,158,84,18
도봉산역,364,2021-11-13,354,360,13
학여울역,180,2021-11-13,72,84,13
사당노외,184,2021-11-13,432,439,20
종묘,1617,2021-11-13,1124,1156,15
천왕역,328,2021-11-13,211,213,18
개화역,483,2021-11-13,107,113,13
마포유수지,505,2021-11-13,566,625,14
세종로,1260,2021-11-13,706,726,16
신대방역,60,2021-11-13,204,212,13
동대문,1092,2021-11-13,610,1511,1
천호역,1432,2021-11-13,1790,1801,15
용산주차빌딩,561,2021-11-13,122,143,17
신천유수지,214,2021-11-13,96,97,12
신방화역,199,2021-11-13,140,140,12
훈련원공원,873,2021-11-13,388,430,13
가양라이품,38,2021-11-13,7,6,15
남산예장,40,2021-11-13,247,247,7
장안1동,74,2021-11-13,63,66,8
신월4동,53,2021-11-13,15,12,11
장안2동,80,2021-11-13,30,39,8
웃우물,79,2021-11-13,48,49,13
잠실역,346,2021-11-14,741,747,12
구로디지털단지역,92,2021-11-14,160,180,18
개화산역,322,2021-11-14,105,99,13
수서역북,553,2021-11-14,227,226,0
수서역남,18,2021-11-14,41,30,11
복정역,322,2021-11-14,232,229,12
한강진역,176,2021-11-14,552,568,15
수락산역,157,2021-11-14,170,171,13
화랑대역,319,2021-11-14,187,194,13
서울글로벌센터,38,2021-11-14,3,2,23
구파발역,399,2021-11-14,280,289,13
신설동,79,2021-11-14,198,204,16
영등포구청역,137,2021-11-14,81,70,21
적선노외,30,2021-11-14,154,67,15
도봉산역,364,2021-11-14,323,333,14
학여울역,180,2021-11-14,61,60,10
사당노외,184,2021-11-14,281,306,14
종묘,1617,2021-11-14,799,810,15
천왕역,328,2021-11-14,125,133,15
개화역,483,2021-11-14,74,89,17
마포유수지,505,2021-11-14,315,324,14
세종로,1260,2021-11-14,883,897,19
신대방역,60,2021-11-14,163,167,16
동대문,1092,2021-11-14,1179,506,0
천호역,1432,2021-11-14,1369,1485,14
용산주차빌딩,561,2021-11-14,44,45,0
신천유수지,214,2021-11-14,101,108,12
신방화역,199,2021-11-14,100,103,7
훈련원공원,873,2021-11-14,154,147,12
가양라이품,38,2021-11-14,10,9,12
남산예장,40,2021-11-14,232,232,11
장안1동,74,2021-11-14,40,36,23
신월4동,53,2021-11-14,16,6,0
장안2동,80,2021-11-14,33,21,0
웃우물,79,2021-11-14,27,24,0
잠실역,346,2021-11-15,1177,1152,14
구로디지털단지역,92,2021-11-15,155,153,19
개화산역,322,2021-11-15,336,346,14
수서역북,553,2021-11-15,673,679,12
수서역남,18,2021-11-15,33,30,15
복정역,322,2021-11-15,418,390,17
한강진역,176,2021-11-15,296,297,14
수락산역,157,2021-11-15,240,241,12
화랑대역,319,2021-11-15,334,336,12
서울글로벌센터,38,2021-11-15,88,96,13
구파발역,399,2021-11-15,654,640,11
신설동,79,2021-11-15,195,192,16
영등포구청역,137,2021-11-15,233,214,15
적선노외,30,2021-11-15,203,91,12
도봉산역,364,2021-11-15,352,345,13
학여울역,180,2021-11-15,116,106,12
사당노외,184,2021-11-15,364,353,20
종묘,1617,2021-11-15,1430,1404,13
천왕역,328,2021-11-15,376,375,13
개화역,483,2021-11-15,336,332,13
마포유수지,505,2021-11-15,769,763,12
세종로,1260,2021-11-15,532,505,13
신대방역,60,2021-11-15,156,160,16
동대문,1092,2021-11-15,1931,1667,0
천호역,1432,2021-11-15,1445,1511,12
용산주차빌딩,561,2021-11-15,450,416,17
신천유수지,214,2021-11-15,213,213,12
신방화역,199,2021-11-15,222,205,11
훈련원공원,873,2021-11-15,979,943,13
가양라이품,38,2021-11-15,34,35,14
남산예장,40,2021-11-15,258,258,11
장안1동,74,2021-11-15,69,89,10
신월4동,53,2021-11-15,23,19,11
장안2동,80,2021-11-15,45,42,10
웃우물,79,2021-11-15,56,55,15
잠실역,346,2021-11-16,1042,1062,15
구로디지털단지역,92,2021-11-16,173,167,19
개화산역,322,2021-11-16,368,353,13
수서역북,553,2021-11-16,711,698,12
수서역남,18,2021-11-16,38,32,13
복정역,322,2021-11-16,392,394,14
한강진역,176,2021-11-16,363,368,14
수락산역,157,2021-11-16,205,209,16
화랑대역,319,2021-11-16,310,315,12
서울글로벌센터,38,2021-11-16,76,76,15
구파발역,399,2021-11-16,630,640,12
신설동,79,2021-11-16,158,164,13
영등포구청역,137,2021-11-16,225,216,14
적선노외,30,2021-11-16,211,107,19
도봉산역,364,2021-11-16,361,359,13
학여울역,180,2021-11-16,116,121,15
사당노외,184,2021-11-16,441,429,20
종묘,1617,2021-11-16,1339,1348,13
천왕역,328,2021-11-16,398,395,13
개화역,483,2021-11-16,341,355,13
마포유수지,505,2021-11-16,830,833,19
세종로,1260,2021-11-16,593,589,15
신대방역,60,2021-11-16,159,152,16
동대문,1092,2021-11-16,1795,1906,1
천호역,1432,2021-11-16,1425,1414,13
용산주차빌딩,561,2021-11-16,431,444,17
신천유수지,214,2021-11-16,228,219,12
신방화역,199,2021-11-16,180,189,17
훈련원공원,873,2021-11-16,962,961,13
가양라이품,38,2021-11-16,43,44,15
남산예장,40,2021-11-16,268,268,13
장안1동,74,2021-11-16,90,103,10
신월4동,53,2021-11-16,21,20,8
장안2동,80,2021-11-16,46,48,14
웃우물,79,2021-11-16,46,47,9
잠실역,346,2021-11-17,951,951,13
구로디지털단지역,92,2021-11-17,202,180,20
개화산역,322,2021-11-17,330,331,13
수서역북,553,2021-11-17,678,679,11
수서역남,18,2021-11-17,32,37,15
복정역,322,2021-11-17,401,420,14
한강진역,176,2021-11-17,375,380,14
수락산역,157,2021-11-17,235,231,15
화랑대역,319,2021-11-17,329,326,14
서울글로벌센터,38,2021-11-17,73,72,11
