address,pkca,pkdiv,pkpart
대구광역시 중구 서문로1가 56-2,노외,민영,18
대구광역시 중구 대안동 50-8,노외,민영,38
대구광역시 중구 삼덕동2가 128-9,노외,민영,13
대구광역시 중구 봉산동 129-15,노외,민영,64
대전광역시 대덕구 비래동 412-2,노외,공영,31
대전광역시 대덕구 송촌동 448-1,노외,공영,24
대전광역시 대덕구 송촌동 460-1,노외,공영,72
,노상,공영,46
대전광역시 대덕구 송촌동 458,노외,공영,173
,노상,공영,56
대전광역시 대덕구 송촌동 478-1,노외,공영,93
대전광역시 대덕구 송촌동 505-2,노외,공영,54
대전광역시 대덕구 송촌동 487-1,노외,공영,29
대전광역시 대덕구 중리동 498-2,노외,공영,42
대전광역시 대덕구 중리동 507-1,노외,공영,27
제주특별자치도 서귀포시 대정읍 하모리 1077-1,노외,공영,10
서울특별시 종로구 창신동401-46,노외,민영,13
서울특별시 종로구 창신동458-10,노외,민영,14
서울특별시 종로구 창신동 401-8외 4필지,노외,민영,20
서울특별시 종로구 숭인동202-37,노외,민영,10
서울특별시 종로구 숭인동226-17,노외,민영,25
서울특별시 종로구 숭인동1063,노외,민영,47
충청남도 천안시 동남구 목천읍 서리 93-1,부설,공영,30
충청남도 천안시 동남구 동면 화계리 181-1,부설,공영,23
충청남도 천안시 동남구 광덕면 신흥리 296-1,부설,공영,27
서울특별시 종로구 운니동97,노외,민영,28
서울특별시 종로구 익선동111,노외,민영,8
서울특별시 종로구 와룡동40-1,노외,민영,18
서울특별시 종로구 와룡동 80-1,노외,민영,16
서울특별시 종로구 원남동249-7,노외,민영,25
서울특별시 종로구 운니동 114-2,노외,민영,92
서울특별시 종로구 원남동 171-2,노외,민영,20
서울특별시 종로구 인사동 174-2,노외,민영,15
서울특별시 종로구 익선동 33-1,노외,민영,10
서울특별시 종로구 율곡로 64,노외,민영,17
서울특별시 종로구 낙원동 289-1(종로17길 43),노외,민영,4
서울특별시 종로구 연지동106외2,노외,민영,15
서울특별시 종로구 연지동234-1,노외,민영,11
서울특별시 종로구 대학로12길 86,노외,민영,15
서울특별시 종로구 동숭동1-143,노외,민영,13
서울특별시 종로구 이화동215,노외,민영,7
서울특별시 종로구 명륜2가150-1,노외,민영,27
서울특별시 종로구 혜화동185,노외,민영,10
서울특별시 종로구 대학로9길 10,노외,민영,31
서울특별시 종로구 창신동287,노외,민영,15
서울특별시 종로구 창신동326-6,노외,민영,17
서울특별시 종로구 창신동399,노외,민영,14
경기도 의왕시 학의동 341-8,노외,공영,473
경기도 의왕시 학의동 343-1,노외,공영,92
경기도 의왕시 내손동 710-20,노외,공영,20
경기도 의왕시 내손동 713-47,노외,공영,151
경기도 의왕시 내손동 844-5,노외,공영,68
경기도 의왕시 내손동 709,노외,공영,75
경기도 의왕시 내손동 724,노외,공영,64
경기도 의왕시 내손동 713-15,노외,공영,30
경기도 의왕시 내손동 711,노외,공영,319
경기도 의왕시 학의동 156-1,노외,공영,15
경기도 의왕시 청계동 963-1,노외,공영,13
경기도 의왕시 삼동 428-45,노외,공영,31
경기도 의왕시 청계동 856-10,노외,공영,13
경기도 의왕시 청계동 77,노외,공영,145
경기도 의왕시 삼동 577-4,노외,공영,438
경기도 의왕시 초평동 12-4,노외,공영,87
경기도 의왕시 왕곡동 598,노외,공영,86
경기도 의왕시 삼동 192-475,노외,공영,10
경기도 의왕시 이동 204-31,노외,공영,21
경기도 의왕시 포일동 655,노외,공영,138
경기도 의왕시 삼동 460-83,노외,공영,237
경기도 의왕시 내손동 806,노외,공영,66
대구광역시 중구 봉산동 223-25,노외,민영,13
대구광역시 중구 남성로 69,노외,민영,12
대구광역시 중구 교동 70-3,노외,민영,30
대구광역시 중구 동인동1가 318-1,노외,민영,20
대구광역시 중구 계산동1가 8-1,노외,민영,16
대구광역시 중구 동인동3가 264,노외,민영,93
대구광역시 중구 인교동 197-2,노외,민영,30
대구광역시 중구 삼덕동1가 61-1,노외,민영,12
대구광역시 중구 삼덕동1가 56-9,노외,민영,15
대구광역시 중구 북성로1가 23-1,노외,민영,26
대구광역시 중구 삼덕동1가 35-18,노외,민영,37
대구광역시 중구 서내동 46,노외,민영,28
대구광역시 중구 상서동 40,노외,민영,50
대구광역시 중구 장관동 40-5,노외,민영,23
대구광역시 중구 서야동 16-6,노외,민영,30
대구광역시 중구 대신동 1463,노외,민영,10
대구광역시 중구 삼덕동1가 50,노외,민영,7
